ThickTR[Min:0.2 Max:0.6 Step:0.133333333333]
ThickTL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBR[Min:0.2 Max:0.6 Step:0.133333333333]
Fillet[Min:0.5 Max:2.5 Step:0.666666666667]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Material:	ThickTR:	ThickTL:	ThickBL:	ThickBR:	Fillet:	K_xy:	K_y:	K_theta:	mass:
Aluminum 2219	0.400	0.200	0.600	0.600	0.500	959613312.000	975197952.000	96189194240.000	435615.903
Aluminum 2219	0.400	0.200	0.600	0.600	1.500	992499136.000	1012097024.000	99558154240.000	438826.347
Aluminum 2219	0.400	0.200	0.600	0.600	2.500	1047274752.000	1068476032.000	104961671168.000	445247.234
Aluminum 2219	0.400	0.400	0.200	0.200	0.500	679671104.000	688695360.000	68141785088.000	420617.896
Aluminum 2219	0.400	0.400	0.200	0.200	1.500	691959488.000	702438144.000	69324357632.000	423828.339
Aluminum 2219	0.400	0.400	0.200	0.200	2.500	752289536.000	764526336.000	75442937856.000	430249.226
Aluminum 2219	0.400	0.400	0.200	0.400	0.500	822759488.000	833675840.000	82412625920.000	425604.412
Aluminum 2219	0.400	0.400	0.200	0.400	1.500	861788928.000	875678528.000	86296756224.000	428814.855
Aluminum 2219	0.400	0.400	0.200	0.400	2.500	919583744.000	936433408.000	92124946432.000	435235.742
Aluminum 2219	0.400	0.400	0.200	0.600	0.500	913199104.000	926712512.000	91475935232.000	430647.087
Aluminum 2219	0.400	0.400	0.200	0.600	1.500	949665536.000	966557824.000	95086919680.000	433857.530
Aluminum 2219	0.400	0.400	0.200	0.600	2.500	1010129600.000	1028862720.000	101306245120.000	440278.417
Aluminum 2219	0.400	0.400	0.400	0.200	0.500	762753984.000	772897728.000	76533522432.000	425604.412
Aluminum 2219	0.400	0.400	0.400	0.200	1.500	786322752.000	798606400.000	78862352384.000	428814.855
Aluminum 2219	0.400	0.400	0.400	0.200	2.500	930773504.000	948625920.000	93329547264.000	435235.742
Aluminum 2219	0.400	0.400	0.400	0.400	0.500	1004003904.000	1022276544.000	100613644288.000	430572.227
Aluminum 2219	0.400	0.400	0.400	0.400	1.500	1036028992.000	1054765440.000	103742513152.000	433782.671
